label,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
A,0.0,0.0,0.0,-0.2557002604007721,-0.07705429941415787,-0.053005870431661606,-0.4715860188007355,-0.3359687328338623,-0.07169757783412933,-0.5849699378013611,-0.5969190001487732,-0.1015816330909729,-0.5838754177093506,-0.8118432760238647,-0.10683947056531906,-0.37027767300605774,-0.6891394257545471,0.03481481224298477,-0.5095738768577576,-0.8222122192382812,-0.0971706211566925,-0.44868072867393494,-0.5683686137199402,-0.14812663197517395,-0.38388895988464355,-0.46849387884140015,-0.1598968207836151,-0.2274690419435501,-0.7448079586029053,0.0142295453697443,-0.3605676293373108,-0.7481294870376587,-0.11704312264919281,-0.2825363576412201,-0.44960924983024597,-0.11275633424520493,-0.21652020514011383,-0.4373179078102112,-0.07365337759256363,-0.07472413033246994,-0.7547942996025085,-0.03503911569714546,-0.19653242826461792,-0.6834887862205505,-0.16307447850704193,-0.13363824784755707,-0.40806129574775696,-0.10013916343450546,-0.07144581526517868,-0.4174971878528595,-0.02305033430457115,0.0825706198811531,-0.7324155569076538,-0.0929800271987915,-0.04487103223800659,-0.6609852313995361,-0.15478622913360596,-0.0192729365080595,-0.45783042907714844,-0.10871265828609467,0.04074014350771904,-0.4582417905330658,-0.054026879370212555
A,0.0,0.0,0.0,-0.22906066477298737,-0.06332171708345413,-0.0586630217730999,-0.43135884404182434,-0.320908784866333,-0.07907398790121078,-0.5523442625999451,-0.5691367983818054,-0.11099464446306229,-0.6535850167274475,-0.7568531036376953,-0.12104056030511856,-0.3578435778617859,-0.6207243204116821,0.03334027901291847,-0.4903925061225891,-0.7626591324806213,-0.0881149098277092,-0.4199237823486328,-0.5395188331604004,-0.13398726284503937,-0.3520592451095581,-0.43322718143463135,-0.1406925767660141,-0.23201455175876617,-0.6651643514633179,0.016300221905112267,-0.3481127619743347,-0.7223978638648987,-0.09896820783615112,-0.2696285545825958,-0.4560723304748535,-0.09626492112874985,-0.21328599750995636,-0.4409022629261017,-0.06262781471014023,-0.09357159584760666,-0.6728926301002502,-0.028687234967947006,-0.20238466560840607,-0.7013134956359863,-0.1482127457857132,-0.14101514220237732,-0.44101858139038086,-0.08951015770435333,-0.08848560601472855,-0.42390933632850647,-0.01719890534877777,0.05153651162981987,-0.6608805656433105,-0.0818307027220726,-0.05338475853204727,-0.6723182201385498,-0.1406133621931076,-0.03253452852368355,-0.49716800451278687,-0.09486464411020279,0.015288129448890686,-0.4850471019744873,-0.04185175895690918
A,0.0,0.0,0.0,-0.23349224030971527,-0.07444869726896286,-0.06115243583917618,-0.42996686697006226,-0.32597458362579346,-0.08369335532188416,-0.5456372499465942,-0.5739301443099976,-0.11679103970527649,-0.6358762383460999,-0.7717910408973694,-0.12782369554042816,-0.352550208568573,-0.6170708537101746,0.03161053732037544,-0.4832921624183655,-0.7665573358535767,-0.08355511724948883,-0.4208098351955414,-0.5417214632034302,-0.12415776401758194,-0.3567453920841217,-0.44173485040664673,-0.12858402729034424,-0.22617881000041962,-0.6539232134819031,0.018795480951666832,-0.345565527677536,-0.7183584570884705,-0.09191463142633438,-0.2737830579280853,-0.45546719431877136,-0.08575596660375595,-0.21518981456756592,-0.4447351396083832,-0.05092853307723999,-0.09024610370397568,-0.6582702994346619,-0.021640941500663757,-0.2037796974182129,-0.6903989911079407,-0.13925480842590332,-0.14599286019802094,-0.43840837478637695,-0.08240329474210739,-0.08680015057325363,-0.4248061180114746,-0.011513199657201767,0.05154925957322121,-0.643950879573822,-0.07001927495002747,-0.06087544187903404,-0.6658226251602173,-0.12930725514888763,-0.04093243181705475,-0.49466097354888916,-0.08603689819574356,0.013409937731921673,-0.4754822254180908,-0.03464536368846893
A,0.0,0.0,0.0,-0.22375304996967316,-0.07085131108760834,-0.07008253782987595,-0.4193194806575775,-0.32853779196739197,-0.09494800120592117,-0.5343987941741943,-0.5835909247398376,-0.1296979933977127,-0.6160613298416138,-0.7876981496810913,-0.13972991704940796,-0.33832240104675293,-0.6303426027297974,0.035150084644556046,-0.46549317240715027,-0.7774010896682739,-0.08562570065259933,-0.40876302123069763,-0.5464149713516235,-0.12346524000167847,-0.3467654585838318,-0.4430021643638611,-0.12363334000110626,-0.21410274505615234,-0.6697490215301514,0.024396909400820732,-0.329854279756546,-0.7277617454528809,-0.09288203716278076,-0.25973352789878845,-0.44759613275527954,-0.08189511299133301,-0.20443199574947357,-0.4541062116622925,-0.03848782554268837,-0.07842042297124863,-0.6744275093078613,-0.01705358922481537,-0.18167659640312195,-0.6807418465614319,-0.14191095530986786,-0.12845267355442047,-0.4225919246673584,-0.08150454610586166,-0.0757775604724884,-0.43478092551231384,-0.004458361770957708,0.061530761420726776,-0.6592946648597717,-0.06759064644575119,-0.04258710891008377,-0.657178521156311,-0.1277713179588318,-0.024546269327402115,-0.4844507575035095,-0.08277773857116699,0.02656589448451996,-0.4880661964416504,-0.028516072779893875
A,0.0,0.0,0.0,-0.22822101414203644,-0.0754816010594368,-0.06682469695806503,-0.4180333614349365,-0.33606380224227905,-0.09093737602233887,-0.5284760594367981,-0.5896575450897217,-0.1255505383014679,-0.612506628036499,-0.7904654145240784,-0.13715413212776184,-0.3343515694141388,-0.6351268291473389,0.039272502064704895,-0.4631180465221405,-0.7748634219169617,-0.07964961975812912,-0.4079013168811798,-0.554817259311676,-0.11844377219676971,-0.3473564386367798,-0.44754481315612793,-0.11902526766061783,-0.20973561704158783,-0.6746864318847656,0.028061434626579285,-0.32702288031578064,-0.725501298904419,-0.08498460054397583,-0.2566171884536743,-0.4459898769855499,-0.07432600855827332,-0.20210281014442444,-0.4485585689544678,-0.03213970363140106,-0.0739220604300499,-0.6778926253318787,-0.01316872239112854,-0.18408642709255219,-0.6914666891098022,-0.13823330402374268,-0.12927797436714172,-0.42637935280799866,-0.07835569977760315,-0.07543482631444931,-0.42595207691192627,-0.001426241360604763,0.06457553803920746,-0.6589486002922058,-0.06285184621810913,-0.04289702698588371,-0.6585355997085571,-0.12702487409114838,-0.02538721077144146,-0.48094889521598816,-0.08280593901872635,0.025362879037857056,-0.4763179123401642,-0.028006449341773987
A,0.0,0.0,0.0,-0.23202137649059296,-0.07882719486951828,-0.05549206957221031,-0.42423513531684875,-0.33606863021850586,-0.07463458180427551,-0.5340794324874878,-0.5881381630897522,-0.1060800775885582,-0.61298006772995,-0.7900984287261963,-0.11634179949760437,-0.34013795852661133,-0.6135833859443665,0.03936922922730446,-0.46363091468811035,-0.7717444896697998,-0.0795152559876442,-0.4087298512458801,-0.5499407649040222,-0.12257242202758789,-0.34613466262817383,-0.4323021173477173,-0.12680284678936005,-0.21579739451408386,-0.6530515551567078,0.022377287968993187,-0.3298739790916443,-0.7249031066894531,-0.09341434389352798,-0.2605064809322357,-0.45452848076820374,-0.09204825758934021,-0.2022295892238617,-0.43040722608566284,-0.05703021585941315,-0.07967343926429749,-0.6588165760040283,-0.022028552368283272,-0.1857699155807495,-0.691585898399353,-0.1443803906440735,-0.13050486147403717,-0.4350232183933258,-0.09075526893138885,-0.07524718344211578,-0.4156140983104706,-0.019159486517310143,0.06316041946411133,-0.643476665019989,-0.07351367175579071,-0.043352216482162476,-0.6628225445747375,-0.13528336584568024,-0.02467719092965126,-0.49140268564224243,-0.09206225723028183,0.02608317881822586,-0.4746071696281433,-0.0389438234269619
A,0.0,0.0,0.0,-0.22744794189929962,-0.07557956129312515,-0.0702081099152565,-0.4240104556083679,-0.33170366287231445,-0.09345992654561996,-0.5393118262290955,-0.5865157246589661,-0.12563501298427582,-0.6129738092422485,-0.7901031970977783,-0.13217341899871826,-0.33883151412010193,-0.6255232691764832,0.03426023945212364,-0.46459171175956726,-0.7605194449424744,-0.07878006249666214,-0.39320364594459534,-0.5238044857978821,-0.11139193922281265,-0.335134357213974,-0.4422913193702698,-0.11123442649841309,-0.21487726271152496,-0.664925217628479,0.024956755340099335,-0.3288257122039795,-0.7209361791610718,-0.08712617307901382,-0.25513362884521484,-0.43998730182647705,-0.07321274280548096,-0.20593596994876862,-0.4572576880455017,-0.0301816463470459,-0.08021483570337296,-0.6683295965194702,-0.013994724489748478,-0.18513138592243195,-0.683540403842926,-0.13717766106128693,-0.13121220469474792,-0.4194832742214203,-0.07509230077266693,-0.0806480348110199,-0.4337562024593353,0.002268852200359106,0.05744069069623947,-0.6531340479850769,-0.061816804111003876,-0.04484257474541664,-0.6469455361366272,-0.12242057919502258,-0.027158312499523163,-0.47804418206214905,-0.07819319516420364,0.02221289835870266,-0.4856613278388977,-0.025037871673703194
A,0.0,0.0,0.0,-0.22752630710601807,-0.08531446754932404,-0.06267257779836655,-0.4210077226161957,-0.34135347604751587,-0.08640106767416,-0.5344680547714233,-0.5894986987113953,-0.1208987608551979,-0.5981729626655579,-0.8013670444488525,-0.13135728240013123,-0.32031092047691345,-0.6415706276893616,0.03353624418377876,-0.45617610216140747,-0.777538537979126,-0.08183451741933823,-0.3967095911502838,-0.5428579449653625,-0.11920680850744247,-0.3355823755264282,-0.44750821590423584,-0.12191881239414215,-0.1973641812801361,-0.6772571802139282,0.019881881773471832,-0.3199433386325836,-0.7236460447311401,-0.09380846470594406,-0.24875885248184204,-0.4441896975040436,-0.08494704961776733,-0.19048067927360535,-0.4520401656627655,-0.046041809022426605,-0.06333650648593903,-0.6763741374015808,-0.02203749679028988,-0.17651847004890442,-0.6863595843315125,-0.14351317286491394,-0.12425556778907776,-0.42770522832870483,-0.08411899954080582,-0.06552675366401672,-0.4388815462589264,-0.009714108891785145,0.07309061288833618,-0.6540812849998474,-0.07201137393712997,-0.03786909580230713,-0.6547784805297852,-0.13110511004924774,-0.02356044203042984,-0.48399463295936584,-0.0860036313533783,0.030929317697882652,-0.48389148712158203,-0.03242337703704834
A,0.0,0.0,0.0,-0.22481486201286316,-0.07858351618051529,-0.06670297682285309,-0.42714160680770874,-0.33944055438041687,-0.09277123212814331,-0.5402998328208923,-0.6002197265625,-0.12999139726161957,-0.5745602250099182,-0.8184623122215271,-0.14048728346824646,-0.33420291543006897,-0.6387078166007996,0.036134641617536545,-0.4611036777496338,-0.7878115773200989,-0.08537015318870544,-0.3994448781013489,-0.544539749622345,-0.12088769674301147,-0.3409610688686371,-0.4659150540828705,-0.12111389636993408,-0.21037456393241882,-0.6735846996307373,0.023523753508925438,-0.3217106759548187,-0.7363874912261963,-0.09559261053800583,-0.2524917721748352,-0.44550085067749023,-0.07775741815567017,-0.1991681605577469,-0.47102296352386475,-0.02952597476541996,-0.07314810901880264,-0.6766408085823059,-0.019686570391058922,-0.17354536056518555,-0.7102702260017395,-0.1452052742242813,-0.12401524931192398,-0.4393957555294037,-0.07335564494132996,-0.0700102224946022,-0.4575836956501007,0.011924723163247108,0.06976018100976944,-0.6611863374710083,-0.07227757573127747,-0.02963818795979023,-0.6804879307746887,-0.12947414815425873,-0.018399780616164207,-0.5012877583503723,-0.07703948765993118,0.031047122552990913,-0.5035082697868347,-0.01758418045938015
A,0.0,0.0,0.0,-0.2476719319820404,-0.11467216163873672,-0.028110351413488388,-0.45291826128959656,-0.37225082516670227,-0.039865557104349136,-0.5389102101325989,-0.6213625073432922,-0.06608506292104721,-0.5639147758483887,-0.8258330225944519,-0.07851966470479965,-0.3134242594242096,-0.6654993295669556,0.03615179285407066,-0.47742700576782227,-0.7441162467002869,-0.07107697427272797,-0.42349326610565186,-0.5108767151832581,-0.11772617697715759,-0.3531348705291748,-0.44721129536628723,-0.1315155327320099,-0.18537235260009766,-0.6927196383476257,0.006652536801993847,-0.3520928919315338,-0.7385240793228149,-0.10325559973716736,-0.30729448795318604,-0.4857144355773926,-0.10729003697633743,-0.23980969190597534,-0.4396781027317047,-0.08279118686914444,-0.053167931735515594,-0.695713996887207,-0.043746840208768845,-0.22422762215137482,-0.7248965501785278,-0.14972589910030365,-0.18473991751670837,-0.4811388850212097,-0.09674236923456192,-0.12132670730352402,-0.4334896504878998,-0.03429895266890526,0.08236850798130035,-0.6786344051361084,-0.09896639734506607,-0.08171600103378296,-0.6847951412200928,-0.15089274942874908,-0.06768406927585602,-0.5039153695106506,-0.1047898381948471,-0.007565764710307121,-0.46345558762550354,-0.05396278575062752
